documento,familia_propuesta,familia_correcta,fecha_firma,fecha_inicio,plazo_anios,fecha_vencimiento,prorroga,preaviso,estado_correcto,no_consta_en_el_documento,notas,pista_duracion,pista_firma
1997_CTO_ALQUILER_BULL_MCCABES,principal,,,,20,,no_consta,90,,,,"aquélla en la que se aplica, (€ A TERCERO.- VIGENCIA A M4 El presente contrato tendrá una duración de 20 años, y comenzará, a-surir efecto desde el día 1 de noviembre del presente año, siendo su término sFañá 31 de octubre de 2.017. No obstante el",
20160119_ANEXO,modificativo,,,2016-01-19,,2030-01-19,no_consta,,,,,,
20160128_ANEXO,modificativo,,2016-01-28,,,,no_consta,,,,,,"CAMPSA ESTACIONES DE SERVICIO, S.A. Y SERVIARAGON, S.A., EL DIA 10 DE DICIEMBRE DE 2015. En Madrid, a 28 de Enero de 2016 La facturación de los servicios objeto del presente contrato se efectuará a la empresa CAMPSA EE.SS., S.A. A estos efectos, y en"
20190115_SUBROGACION_A_REPSOL_COMERCIALLOS_OLIVOS,modificativo,,,2019-01-15,,,no_consta,,,,,,
20190208_APORTACION_REPSOL_A_REFORMA_TIENDA_008,modificativo,,,,,,no_consta,,,,,"lizara, por cualquier causa no imputable a REPSOL COMERCIAL, con anterioridad al plazo de duración, necesario para amortizar linealmente la inversión señalada, la PROPIEDAD estará obligada a abonar a REPSOL COMERCIAL la parte proporcional del impor","RCIAL, S.A., Y SERVI GON, S.A REFERENTE A LA E.S. 12.933 SITA EN CR-A2, 280,1 (CALATORAO) En Madrid, a 8 de febrero de 2.019 REPSOL COMERCIAL y la PROPIEDAD acuerdan, sin perjuicio de mantener en todos sus términos las cláusulas del contrato arriba ide"
2019_CTO_ALQUILER_RENOVACION_BULL_MCCABES,modificativo,,2010-10-31,,20,,renunciada,180,,,,"d solidaria de los firmantes, la cual continúa vigente. e HI L— Se estableció un plazo de duración de veinte años, finalizando el 31 de WÍ - octubre de 2017, pactándose no obstante que operaría la tácita [E 24 reconducción prevista en el artículo 1","En Zaragoza, a 31 de octubre de 20109. REUNIDOS De una parte, D* Silvia Sánchez Cajo, provista de D.N.I. núm. 25.150.167-N, y domicilio a estos efectos en Avda. de"
202002_CTO_ALQUILER_ZURITA,principal,,,,10,,tacita,,,,,"imiento básico para la certificación de eficiencia energética de edificios. Pa SEGUNDA. - DURACIÓN. FIANZA DEPOSITADA El plazo de vigencia del presente contrato comenzará a contarse desde el día uno de enero de 2.020, siendo la duración del mismo d",
20200522_APORTACION_REPSOL_A_REFORMA_EESS,modificativo,,2020-05-22,,,,no_consta,,,,,,"Y SERVIARAGON S.A., REFERENTE A LA E.S. N% 12933 SITA EN CR-A2, EN CALATORAO (ZARAGOZA). En Madrid, a 22 de Mayo de 2020. No obstante lo indicado en el ANEXO firmado entre ambas partes con fecha 8 de febrero de 2019, en el que se hacía alusión al abon"
2023_09_30_PRORROGA_ARRENDAMIENTO_LOCAL_SMOOTH,modificativo,,,2024-02-01,,,no_consta,,,,,"MITADA” domiciliada en Zaragoza, Calle Cinco de Marzo n* 7, 1% izquierda, constituida con duración indefinida en escritura autorizada ante el notario de la ciudad de Zaragoza D. Augusto Ariño García Belenguer, con el número 2.244 de su protocolo, e",
BALTASAR_GRACIAN_29_31__20160204_ROSVIPLE__ALQUILER_LAGO_NESS,principal,,2016-01-27,,15,,no_consta,60,,,,"ceda indemnización alguna para la arrendataria. TERCERO.- VIGENCIA El arriendo tendrá una duración de QUINCE AÑOS que principiarán a contarse desde el día 27 de Enero de dos mil dieciséis, por lo cual, el arriendo, de pleno derecho, terminará el 26","En Zaragoza, a 27 de enero de 2016 REUNIDOS De una parte, D. Francisco J. Sánchez Cajo, mayor de edad, vecino de Zaragoza, provisto de D.N.I. n* 25146599-D, quien a"
CONTRATO_ARRENDAMIENTO_CRED,principal,,2015-12-10,2016-01-15,14,2030-01-15,expresa,90,,,,al pú- blico de carburantes líquidos y lubricantes. ARR_DIR_2014 Página 1 de 10 SEGUNDA: DURACION. ys La duración del presente Contrato de Arrendamiento de Industria se concierta por un plazo inicial de CATORCE AÑOS a contar desde el día 15 de ene,"CONTRATO DE ARRENDAMIENTO yS | En Madrid, a 10 de Diciembre de 2015 i REUNIDOS — De una parte, D. RAMÓN ALFONSO GALIANAS, con D.N.I. N* 1.856.639-Z | Y de otra, D. MARCELO ADRIAN PISANI FRANCIS"
DERECHOS_SUPERFICIE,principal,,,,25,,no_consta,,,,,"eque queda unido a - esta matriz para fermar parte integrante de la misma. - “. Sexta. El plazo de vigencia del referido derecho | _ ¡en de superfitie será de veinticinco años,. contados 0) "" desde la inscripción de esta escritura en el Registro : de la Pro","e A 50004 ZARAGOZA | AS + laos” | , Número mil setecientos setenta, —eooceccoooonmmmon o En Zaragoza, a cuatroúe abril de""mil novecientos no- Ss O m Ante mí, Manuel García-Granero Fernández, Notario o) del Ilustre Colegio de esta Capital, con residencia"
RESCATE_DERECHOS_SUPERFICIE,modificativo,,,,25,,no_consta,,,,,"e protocolo) domici- liada en la calle CADIZ, N”* 6, 5” A, de Zaragoza, : constituida por duración indefinida, en escritura otorgada el día veintisiete de julio de mil nove- EN cientos noventa, ante el Notario de Zaragoza Don - y Manuel García Gran",
